Song,Artist,Image,Lat,Lon
232 Metro Line,Sophia Viggiano,https://i.scdn.co/image/ab67616d0000b2737fefd7638044e6326aeea15d,33.8847361,-118.4109089
Alaska,Maggie Rogers,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da,64.2008413,-149.4936733
Alewife,Clairo,https://i.scdn.co/image/ab67616d0000b27333ccb60f9b2785ef691b2fbc,42.395625,-71.14190169999999
America,Simon & Garfunkel,https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4,37.09024,-95.712891
Amsterdam,Gregory Alan Isakov,https://i.scdn.co/image/ab67616d0000b273406b5316a88bcfad345a4c26,52.3666969,4.8945398
Arizona,Frances Cone,https://i.scdn.co/image/ab67616d0000b273b3c2c19a4fba83cd6e686fbf,34.0489281,-111.0937311
Arizona ,Corn on My Dinner Plate,https://i.scdn.co/image/ab67616d0000b2732df258170ebd07a908487304,34.0489281,-111.0937311
Atlanta Girls,Trash Panda,https://i.scdn.co/image/ab67616d0000b273bdc4eb647ab4c1204df33d84,33.7489954,-84.3879824
Australia,The Shins,https://i.scdn.co/image/ab67616d0000b2738bbe5ef9d7a21f60ea2c351b,-25.274398,133.775136
Blue Ridge June,Sam Burchfield,https://i.scdn.co/image/ab67616d0000b273ae7853af4a536588c0ab9eb2,35.7647092,-82.2652846
Blue Ridge Mountains,Fleet Foxes,https://i.scdn.co/image/ab67616d0000b2738b9e7e4bb2ff70126be3c338,35.7647092,-82.2652846
Boston,Augustana,https://i.scdn.co/image/ab67616d0000b273ef6b8e3464eb5ac09be99c0a,42.3600825,-71.0588801
Brazil,Declan McKenna,https://i.scdn.co/image/ab67616d0000b273ec8be21d32e663885fbb244e,-14.235004,-51.92528
Brooklyn,Patrick Droney,https://i.scdn.co/image/ab67616d0000b27312f44f2b67bdcbb44004690f,40.6781784,-73.9441579
Brooklyn Nights,AJ Smith,https://i.scdn.co/image/ab67616d0000b273f6ba839208d6643e26ef3dab,40.6781784,-73.9441579
Bruxelles,Boulevard des Airs,https://i.scdn.co/image/ab67616d0000b273013c4a4de0647eb128daefd8,50.8503396,4.3517103
Budapest,George Ezra,https://i.scdn.co/image/ab67616d0000b2738240d6cea0205babc6814007,47.497912,19.040235
California,Drinker,https://i.scdn.co/image/ab67616d0000b27356892234c1f80792f2605416,36.778261,-119.4179324
California,i said yes,https://i.scdn.co/image/ab67616d0000b273f9e4287413e2d23a72f75ba9,36.778261,-119.4179324
California   ,Dessert,https://i.scdn.co/image/ab67616d0000b273ff0d959e4e35c8a773566d1a,36.778261,-119.4179324
California Dreamin',Joseph,https://i.scdn.co/image/ab67616d0000b2734f623f7be3aa1e881e416a24,36.778261,-119.4179324
California English,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b27392f4cbe7bb66d3d78cd277cd,36.778261,-119.4179324
California Song,Patrick James,https://i.scdn.co/image/ab67616d0000b273cedb9116d166152da073aa32,36.778261,-119.4179324
Cape Cod Kwassa Kwassa,Vampire Weekend,https://i.scdn.co/image/ab67616d0000b2739cca0d695187fbeed4ee301b,41.6687897,-70.29624079999999
Cape to Rio,Beatenberg,https://i.scdn.co/image/ab67616d0000b2738842e85e405d9de6d1e0395f,-22.9068467,-43.1728965
Cape to Rio,Beatenberg,https://i.scdn.co/image/ab67616d0000b2738842e85e405d9de6d1e0395f,-33.9248685,18.4240553
Carolina,Young Mister,https://i.scdn.co/image/ab67616d0000b2736408ace21d12296424e36720,35.7595731,-79.01929969999999
Carolina,Bedon,https://i.scdn.co/image/ab67616d0000b273effdc0be1317dd16d8330ada,35.7595731,-79.01929969999999
Cavendish Square,Beatenberg,https://i.scdn.co/image/ab67616d0000b2738842e85e405d9de6d1e0395f,51.5164839,-0.1457041
Cemeteries of London,Coldplay,https://i.scdn.co/image/ab67616d0000b2733d9d867b880ebf840fceec69,51.4335779,-0.1028403
Chicago,Flipturn,https://i.scdn.co/image/ab67616d0000b2731bd0a9134f5e2ab286da24d2,41.8781136,-87.6297982
Chicago,Sufjan Stevens,https://i.scdn.co/image/ab67616d0000b273a7054529bcdd1ea5dcb852bc,41.8781136,-87.6297982
Chicago,Flipturn,https://i.scdn.co/image/ab67616d0000b2731bd0a9134f5e2ab286da24d2,41.8781136,-87.6297982
Coeur d'Alene,Tyson Motsenbocker,https://i.scdn.co/image/ab67616d0000b27394718a1ac1bbcc6b762a68fe,47.6734632,-116.7812225
Cold in California,Ashe,https://i.scdn.co/image/ab67616d0000b2734c799baaee10a82fb21ae853,36.778261,-119.4179324
Colombia,Local Natives,https://i.scdn.co/image/ab67616d0000b27312843952346aaa03f1f67970,4.570868,-74.297333
Cornelia Street,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273eec5bf14fcf7c92ec8166027,40.731479,-74.002015
Couer D'Alene,The Head and the Heart,https://i.scdn.co/image/ab67616d0000b2737656c03fcc99c618582b5e78,47.6734632,-116.7812225
